Clean,Mitch's Category
Ashby-de-la-Zouch (England),Place
Ashendene Press,Entity
"Ashton, Frank",Person
Asinesca Gloria,
Asklepios (Greek deity),
"Asper, Hans",Person
"Aspin, John Geoffrey",Person
Asps,Animal
Assisi (Italy),Place
Asti (Italy),Place
"Astle, Daniel, 1743-1826",
Astorga (Spain),Place
Astoria (Or.),
"Athanasius, Saint, Patriarch of Alexandria, d. 373",Person
Athena (Greek deity),
"Aubepin, Charles",Person
"Aubert, docteur",Person
"Aubert, Pierre, 1839-1915",Person
Auctoritates Aristotelis,
"Audibert, Pierre",
"Auerbach, Johannes, fl. 1405",
Augsburg (Germany),Place
Augsburg (Gremnay),Place
"August, Duke of Braunschweig-Lüneburg, 1579-1666",Person
"August, Elector of Saxony, 1526-1586",
"Augustine, Saint, Bishop of Hippo",Person
Augustiner-Chorherrenstift Gars,
Augustiner-Chorherrenstift Herrenchiemsee (Germany),
Augustinerchorherren-Stift Polling,
Augustinerchorherrenstift Rottenbuch,
Augustinian bindings,
Augustinian bookplates,
Augustinian inscription,
Augustinian inscriptions,
Augustinian Recollects,
Augustinian stamps,
Augustinians,
"Augustinians (Ramsau, Germany)",Hybrid
"Augustus Frederick, Duke of Sussex, 1773-1843",Person
"Augustus Frederick, Prince, Duke of Sussex, 1773-1843",Person
"Augustus, Emperor of Rome, 63 B.C.-14 A.D.",Person
"Aurelia Cotta, 120-54 B.C.",
"Aurelius, Franciscus Daniel",Person
Ausgeschieden,
"Austen, John",Person
"Auston, John",Person
Austria. Bundesdenkmalamt,Entity
Austria. Nationalbibliothek,Entity
Autographs,Type
Autun (France),Place
Auxonne (France),Place
Avicenna,
Avignon (France),Place
"Avogadro, Hieronimo",Person
Awards,Type
"Ayala, Josef de",Person
"Ayblinger, Georg",Person
B A,Monogram
B C,Monogram
B C D L,Monogram
B D M,Monogram
B L S,Monogram
B S S,Monogram
B. C. R.,Monogram
B.H. Blackwell Ltd.,Entity
"Babst, Valentin",
"Bac, Govaert",
Bacchus (Greek deity),
"Bacci, Giovanni Francesco",Person
"Baccus, Joannes Franciscus",Person
"Bacon, George William",Person
Bad Harzburg (Germany),
Bad Kreuznach (Germany),
Bad Langensalza (Germany),Place
"Badeley, Henry John, 1847-1951",Person
Baden (Germany),Place
"Badius, Josse, 1462-1535",Person
"Baglioni, Paolo",Person
"Baglioni, S.",Person
"Bagnacavallo, Giacomo, 1570-1631",Person
"Bagnara, Riccardo",Person
Bagot arms,
Bagot family,
"Bagot, William Bagot, Baron, 1728-1798",Person
Bagpipes,
"Bailey, Robert",Person
"Baillie, Alexander William Mowbray, 1843-1921",Person
"Baillie, C. C.",Person
"Baillie, George, 1664-1738",Person
"Baird, William",Person
"Baird, William, Sir, 1654-1737",Person
Baker,Person
"Baker, George Fales, 1863-1929",Person
"Baker, O.",Person
"Baker, O. L.",Person
Balaam (Biblical figure),
"Balaus, Wilhelm Alexander",
"Balbani, Biagio",Person
"Baldini, Vittorio, d. 1618",Person
Baldock,
Balduinus Dionysius,
"Baldung, Hans, d. 1545",Person
"Baldwin, John",Person
"Balestrieri, Antonio",Person
"Balestrierus, Antonius",Person
"Balhorn, Johann, fl. 1575-1604",
"Balhorn, Johannes, -1573",
"Ball, Benjamin Williams, 1816-1883",Person
"Ballard, Ellis Ames, 1861-1938",Person
"Ballière de Laisement, Denis, 1729-1800",Person
Balliol College,
Balliol College (University of Oxford),Entity
Balmerino Abbey,
Balmerinus,
"Baltimore, Md.",
